Γ21Α	           475  	2
Γ22Α	           257  	1 	 
Λ01Μ	        2.171  	7
Λ01Χ	        1.541  	4
Λ02Μ	        1.743  	4
Λ02Χ	        1.175  	3
Λ03Μ	        1.249  	3
Λ03Χ	           886  	2
Λ04Μ	        1.807  	5
Λ04Χ	           571  	2
Λ05Α	           334  	1
Λ20Α	           872  	3
Λ21Α	           420  	2
Λ23Α	           265  	1
Λ24Α	           288  	2
Λ26Α	           257  	2	 	 
Τ01Α	        1.381  	1
Τ02Α	      20.279  	23
Τ03Α	      16.846  	48
Τ04Α	      11.997  	34
Τ05Α	      10.357  	27
Τ06Μ	      15.128  	30
Τ06Χ	        5.062  	13
Τ20Μ	           244  	2
Τ20Χ	           512  	2
Τ21Α	      41.579  	73
Τ22Α	      30.725  	65
Τ23Α	        7.359  	25
Τ24Α	        5.818  	26
Τ25Μα	        5.872  	24
Τ25Μβ	        4.145  	20
Τ25Μγ	        3.158  	18
Τ25Χ	        2.646  	15
Τ26Μα	        3.719  	15
Τ26Μβ	        2.346  	12
Τ26Μγ	        1.644  	11
Τ26Χ	           716  	5
Τ27Μα	        3.076  	12
Τ27Μβ	        1.294  	7
Τ27Μγ	           918  	5
Τ27Χ	           428  	3	 	 
Ξ01Α	        3.476  	7
Ξ02Μ	        4.655  	13
Ξ02Χ	           781  	2
Ξ20Μ	        1.945  	7
Ξ20Χα	           786  	3
Ξ20Χβ	           257  	1
Ξ21Μ	        1.136  	6
Ξ21Χ	           315  	1
Ξ22Α	           514  	3 	 
Σ01Μ	        8.558  	23
Σ01Χ	        2.236  	6
Σ02Μ	        5.777  	18
Σ02Χα	        3.109  	8
Σ02Χβ	        2.056  	5
Σ03Μ	        6.097  	20
Σ03Χ	        1.099  	3
Σ04Μ	        1.694  	7
Σ04Χ	           966  	2
Σ20Μ	        7.435  	17
Σ20Χ	           988  	3
Σ21Μ	        3.782  	14
Σ21Χ	        1.886  	5
Σ21Α	           294  	1
Σ22Μ	        1.253  	6
Σ22Χ	           638  	2 	 
Ρ01Α	           443  	1
Ρ05Μα	        8.110  	20
Ρ05Μβ	        3.050  	9
Ρ05Χ	        2.140  	6
Ρ10Μα	        7.118  	24
Ρ10Μβ	        2.688  	12
Ρ10Χ	        1.473  	7
Ρ20Α	        6.023  	11
Ρ20Μ	        2.514  	11
Ρ20Χ	        1.261  	6
Ρ21Μ	        1.556  	8
Ρ21Χ	           778  	4
Ρ22Μ	        1.105  	5
Ρ22Χ	           444  	2
Ρ23Α	           428  	2
Ρ24Μα	        3.773  	14
Ρ24Μβ	        1.401  	6
Ρ24Χ	           623  	3 	 
Χ20Α	           148  	1
Χ40Α	           140  	1
Χ41Α	        3.066  	21
Χ42Μ	        3.268  	15
Χ42Χ	        1.331  	8
Χ43Α	        2.568  	14
Χ44Α	        1.152  	7
Χ45Α	           965  	4
Χ46Α	        4.171  	20
Χ47Α	        1.214  	6
Χ48Α	        3.261  	10 	 
Ι20Α	           366  	2
Ι21Α	        1.089  	5
Ι22Μ	           910  	6
Ι22Χ	           366  	1
Ι23Α	           576  	5
Ι24Α	           599  	4 	 
Φ01Α	      12.204  	21
Φ02Μ	        9.426  	22
Φ02Χ	        8.412  	15
Φ03Α	        5.386  	13
Φ04Μ	        8.798  	22
Φ04Χ	        5.558  	11
Φ10Α	        1.472  	1
Φ11Μ	        3.657  	15
Φ11Χ	        1.883  	7
Φ22Μ	        2.357  	5
Φ22Χ	           827  	2
Φ24Μ	        2.785  	11
Φ24Χ	           934  	2
Φ25Μ	        1.256  	4
Φ25Χ	           700  	1
Φ26Μ	        2.460  	9
Φ26Χ	           828  	2
Φ27Μ	        3.631  	17
Φ27Χ	        1.479  	6
Φ40Α	        3.649  	7
Φ60Μ	        1.144  	7
Φ60Χ	           288  	2
Φ61Α	           280  	1
Φ62Μ	        1.183  	4
Φ62Χ	           374  	2
Φ63Μ	        1.245  	6
Φ63Χ	           506  	3
Φ64Μ	        1.159  	5
Φ64Χ	           303  	1 	 
Ζ01Α	      36.068  	38
Ζ02Μ	        7.225  	18
Ζ02Χ	        2.979  	6
Ζ03Α	        2.312  	5
Ζ20Α	           241  	1
Ζ21Α	           848  	4
Ζ22Μ	        1.167  	6
Ζ22Χ	           397  	2	 	 
S01Μ	        2.413  	6
S01Χ	        1.334  	1
S01Α	           540  	1
S20Μ	        2.716  	20
S20Χ	        1.759  	19
S20Α	           934  	1
S21Μ	           887  	5
S21Χ	           232  	1
S23Μ	        2.039  	14
S23Χ	           848  	6
S24Μ	           770  	4
S24Χ	           216  	1
S25Α	        1.082  	4	 	 
G01Μα	        5.709  	22
G01Μβ	        3.573  	9
G01Χ	        2.182  	3 	 
W10Α	        2.014  	3
W11Α	           991  	2
W13Α	           685  	2
